gsd_min,1.75
gsd_max,4.0
gsd_step,0.05
mmad_min,0.5
mmad_max,30.0
mmad_step,0.5
dp_min,1.0
dp_max,18.0
dp_step,1.0
data_set,optimised
compare,inhalible
set_dp,True
area_of_intrest,True
max_value,400

###,-0.5096789668543642,-1.6101053615330836,-3.7115223008421556,-6.593319151822322,-9.957354449799674,-13.57094540906147,-17.274230548390097,-20.962241461888535,-24.568225745824183,-28.051411787244874,-31.38848956309934,-34.567774623982814,-37.585237129141305,-40.44180939270369,-43.14156465346076,-45.69048819544349,-48.09565114464777,-50.36465825856804,-52.50528239052961,-54.525226269269986,-56.43197112602299,-58.23268449036516,-59.9341681615702,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,-0.6338050199811774,-1.9294359685088198,-4.166135084161918,-7.06217359284033,-10.32964978043264,-13.765043924332836,-17.237290995036556,-20.66467703043669,-23.997612744947943,-27.207295705133465,-30.27838182745013,-33.20422650708621,-35.983769278138226,-38.619480269235126,-41.116000318175125,-43.47923873108413,-45.715775461943025,-47.83246713083532,-49.83619021736713,-51.73367687330549,-53.53141335576533,-55.23558075602869,-56.85202418117964,-58.38624092211578,-59.843381116432425,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,-0.7822863517345017,-2.2589688069879266,-4.598095532851776,-7.484758662773275,-10.650400443778837,-13.919423006736672,-17.184925892750353,-20.383573468385155,-23.47894133971653,-26.45128391754393,-29.2912626395394,-31.996045456618365,-34.566841843174906,-37.00732447736152,-39.32260952669875,-41.51859488104853,-43.60153092998465,-45.5777440362322,-47.453461056069536,-49.23470105613512,-50.92721179901362,-52.53643600669623,-54.067497312427726,-55.52519907618336,-56.91403143334233,-58.238183432312496,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,-0.9523711778469656,-2.5925105472092502,-5.00617708970893,-7.866179829688772,-10.928062107914789,-14.0420773214635,-17.121641121730512,-20.118094160463624,-23.005219642458144,-25.77018043319891,-28.408182508744595,-30.919272406337605,-33.30637754742977,-35.57408806077784,-37.72789151150338,-39.7736899678253,-41.71749602627965,-43.56524372889098,-45.32267390675617,-46.99526798200086,-48.5882133456035,-50.106389221633485,-51.55436567718713,-52.936410893800414,-54.25650344287657,-55.518347394322895,-56.72538881845861,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,-1.1407292699994251,-2.925240260232341,-5.3901989367199015,-8.211139422497018,-11.169654336004081,-14.139432751808078,-17.05100845929826,-19.867555156166006,-22.57085527280754,-25.15338652392833,-27.61380962922627,-29.95434218483422,-32.17919956842943,-34.293654971765605,-36.30346756723414,-38.214534266325,-40.032679631400775,-41.76353224617496,-43.41245563241276,-44.984513679026904,-46.484457835424045,-47.91672787271018,-49.28546090536549,-50.594505224226,-51.847436700010505,-53.047576309286924,-54.19800785804243,-55.30159532481704,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,-1.3438581778527317,-3.2535208636407327,-5.750655876926271,-8.523860625549883,-11.380965833793844,-14.21661796713017,-16.975807238807064,-19.63133006525709,-22.171300464302696,-24.59231990473295,-26.895688433646264,-29.085260036629485,-31.166206575433037,-33.144296641003606,-35.02547323521564,-36.815608405536224,-38.52036430709438,-40.145118938175784,-41.69493134178283,-43.17453081003903,-44.58832048809822,-45.940389362916896,-47.234528854228294,-48.47425163098353,-49.66281117100066,-50.80322115470788,-51.898274152605865,-52.95055930341598,-53.96247883205491,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,-1.558356891572056,-3.5746953214901698,-6.088460681318685,-8.8080813629078,-11.566757715119602,-14.277709266573849,-16.89816239441352,-19.40879746333681,-21.802785694421516,-24.079953965699136,-26.243628500322824,-28.29889571836876,-30.251630325438878,-32.10794904452129,-33.873905698046826,-35.55532554204045,-37.157720890949406,-38.68625442051405,-40.14573031056091,-41.54060136024363,-42.87498491257373,-44.152683248637366,-45.37720583004069,-46.551791824688124,-47.6794320053143,-48.76288951664835,-49.80471925913347,-50.807285792155184,-51.77277975345428,-52.70323284627694,-53.60053147609869,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
